SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532942,KNR CONST   ,A ,Q,212.00,220.00,210.45,215.40,215.40,211.25,1359,66442,14450360.00,
532944,ONMOBILE    ,B ,Q,107.10,107.10,103.65,107.10,107.10,102.00,417,176315,18866769.00,
532945,SHRIRAM EPC ,B ,Q,4.10,4.21,4.00,4.03,4.03,4.01,78,38320,156272.00,
532946,BANG        ,B ,Q,29.30,29.40,25.85,27.50,27.50,27.60,31,1138,29963.00,
532947,IRB INFRA   ,A ,Q,109.00,110.00,108.65,109.40,108.95,108.95,401,37273,4075158.00,
532951,GSS INFOTECH,B ,Q,51.70,51.70,51.00,51.15,51.05,51.00,48,21295,1087374.00,
532952,NAHAR CAP   ,B ,Q,102.05,105.50,102.05,104.05,104.00,103.50,28,1042,108533.00,
532953,V GUARD IND ,A ,Q,247.00,248.00,239.10,241.60,241.60,245.45,519,15672,3803679.00,
532955,RECLTD      ,A ,Q,131.35,134.60,131.35,133.95,133.95,131.90,1779,177670,23650787.00,
532957,GOKAK TEXTI ,XT,Q,24.80,24.80,24.80,24.80,24.80,25.30,2,400,9920.00,
532959,GAMMON INFRA,B ,Q,0.71,0.71,0.69,0.71,0.71,0.72,9851,670252,469363.00,
532960,DHANI       ,B ,Q,182.00,194.35,178.50,192.10,192.10,176.70,6550,392781,73609490.00,
532966,TITAGARH WAG,A ,Q,49.45,49.85,48.75,49.05,49.00,49.15,1002,98471,4856589.00,
532967,KIRI DYES   ,A ,Q,443.40,448.20,430.35,431.65,432.70,437.30,410,4718,2064158.00,
532972,SANKHYA INFO,XT,Q,2.90,3.20,2.90,3.04,3.20,3.05,26,3272,9949.00,
532974,ABML        ,B ,Q,41.55,44.40,41.00,42.75,42.75,41.75,531,39504,1685771.00,
532976,JAIBALA IND ,T ,Q,36.05,38.20,35.55,38.00,37.50,37.40,31,2817,106050.00,
532977,BAJAJ AUTO  ,A ,Q,3616.00,3697.25,3600.00,3686.45,3681.00,3615.00,2542,45000,165108269.00,
532978,BAJAJ FINSE ,A ,Q,9545.00,9653.85,9466.60,9539.30,9539.30,9520.60,2588,12604,120662872.00,
532980,GOKUL REFOIL,B ,Q,19.05,19.50,17.85,19.40,19.40,19.05,10,1401,26044.00,
532983,RPG LIFESCI ,B ,Q,386.15,394.95,385.60,389.00,388.00,388.40,246,1976,771417.00,
532985,KOTAK SENSEX,B ,Q,511.00,529.00,511.00,518.00,518.00,521.70,46,723,373589.00,
532986,NIRAJ CEMENT,B ,Q,44.20,44.20,38.70,42.65,42.75,42.20,496,27254,1164216.00,
532987,RANE BRAKE  ,B ,Q,809.85,810.20,801.25,803.60,803.60,804.65,17,64,51599.00,
532988,RANE ENGVL  ,B ,Q,260.20,285.00,260.20,268.20,271.65,264.50,42,550,148116.00,
532989,BAFNA PHARMA,T ,Q,136.60,136.60,136.60,136.60,136.60,130.10,52,8129,1110421.00,
532992,CHL LTD     ,X ,Q,6.60,6.60,6.50,6.50,6.50,6.50,4,31,203.00,
532993,SEZALGLASS  ,Z ,Q,4.00,4.20,3.90,4.20,4.20,4.00,7,2121,8902.00,
532994,ARCHIDPLY IN,T ,Q,31.00,32.30,29.90,30.15,30.00,31.10,44,10373,312682.00,
532998,LEHIL       ,B ,Q,45.00,45.00,41.00,41.70,41.30,41.80,79,2430,103252.00,
533001,SOMI CONVEY ,T ,Q,33.00,33.00,33.00,33.00,33.00,31.45,11,533,17589.00,
533007,LGB FORGE   ,T ,Q,3.85,3.86,3.65,3.79,3.83,3.68,16,8614,32910.00,
533012,LANDMRK PRO ,T ,Q,1.89,1.98,1.89,1.98,1.98,1.98,2,714,1350.00,
533014,SICAGEN IND ,B ,Q,15.00,15.20,14.60,15.05,15.05,15.22,22,1862,27645.00,
533022,20 MICRONS  ,B ,Q,35.40,37.45,35.40,36.90,36.90,35.50,356,18890,694705.00,
533023,WABCO       ,A ,Q,6223.60,6319.90,6171.30,6208.75,6187.05,6257.05,130,242,1510479.00,
533029,ALKALI      ,B ,Q,55.50,59.00,55.35,58.70,59.00,54.20,542,31513,1832835.00,
533033,ISGEC       ,A ,Q,481.40,504.00,478.00,492.20,492.00,481.40,570,29209,14425386.00,
533047,INDIAN MET  ,B ,Q,491.00,533.65,489.00,517.30,523.40,483.85,1697,19709,10098942.00,
533048,GI ENGINERG ,T ,Q,2.85,2.85,2.85,2.85,2.85,2.85,1,30,85.00,
533056,VEDAVAAG    ,X ,Q,28.80,28.80,27.30,28.40,28.50,27.85,38,7548,213229.00,
533080,MOLDTKPACK  ,A ,Q,393.60,406.85,380.90,404.90,406.85,389.65,889,13353,5330761.00,
533088,MAH HOLIDAY ,A ,Q,223.20,225.35,221.70,222.00,222.50,223.50,148,1541,343718.00,
533090,EXCEL       ,B ,Q,2.59,2.59,2.43,2.46,2.51,2.51,97,6475,16210.00,
533093,RAJ OIL     ,T ,Q,102.35,103.10,97.00,102.65,102.65,98.20,95,4388,444570.00,
533095,BENGLA& ASM ,B ,Q,1420.00,1425.00,1374.90,1384.75,1375.65,1403.85,100,10044,13824172.00,
